artista,genero,anio,similares,bio,listeners,playcount
Johnny Hartman,jazz,2023,"John Coltrane & Johnny Hartman, Etta Jones, Lorez Alexandria","John Maurice Hartman (July 3, 1923 – September 15, 1983) was an American jazz singer who specialized in ballads and earned critical acclaim, though he was never widely known. He recorded a well-known collaboration with the saxophonist John Coltrane in 1963 called John Coltrane and Johnny Hartman, and was briefly a member of Dizzy Gillespie's group and recorded with Erroll Garner. Most of Hartman's career was spent recording solo albums.

Born in Louisiana, but raised in Chicago, Hartman began singing and playing the piano by the age of eight. <a href=""https://www.last.fm/music/Johnny+Hartman"">Read more on Last.fm</a>",171950,1121154
Monica Zetterlund,jazz,2020,"Jakob Hellman, Lill Lindfors, Lisa Nilsson","Monica Zetterlund (born Monica Nilsson on September 20, 1937 in Hagfors, Värmlands län, Sweden, died May 12, 2005 in Stockholm, Sweden) was a Swedish singer and actress.

She appeared in more than 20 films and television series, including The Emigrants (1971) with Liv Ullman and Max von Sydow.

She was above all an outstanding singer, particularly noted for her jazz songs. In 1964 she recorded the jazz album Waltz for Debby with Bill Evans. She was regarded as a role model by many younger Swedish singers. <a href=""https://www.last.fm/music/Monica+Zetterlund"">Read more on Last.fm</a>",125484,1881911
Michel Legrand,jazz,2021,"Georges Delerue, Vladimir Cosma, Francis Lai","Michel Legrand (Michel Jean Legrand, Paris, France, 24 February 1932 – 26 January 2019) was a French composer, arranger, conductor, and pianist. A prolific composer, having written over 200 film and television scores, in addition to many memorable songs, he is best known for his often haunting, jazz-tinged film music. His celebrated scores for the films of French New Wave director Jacques Demy, The Umbrellas of Cherbourg (1964) and The Young Girls of Rochefort (1967), earned Legrand his first Academy Award nominations. <a href=""https://www.last.fm/music/Michel+Legrand"">Read more on Last.fm</a>",208022,2247580
Emilie-Claire Barlow,jazz,2022,"Laura Fygi, Stacey Kent, Renee Olstead","Emilie-Claire Barlow (born 6 June 1976) is a Canadian singer, arranger, record producer, and voice actress. She has released several albums on her label, Empress Music Group, and has voiced characters for animated television series. She performs in English, French, and Portuguese.

Barlow's first album, Sings, was released in 1998. She has received seven nominations for Canada's Juno Awards with her album Seule ce soir winning for best Jazz Vocal Recording in 2013 and Clear Day winning the same award in 2016. <a href=""https://www.last.fm/music/Emilie-Claire+Barlow"">Read more on Last.fm</a>",147135,1280882
小島麻由美,jazz,2023,"Les 5-4-3-2-1, Minuano, 倉橋ヨエコ","小島麻由美 (Kojima Mayumi, born September 30 1972) is a Japanese singer and musician from Tokyo under the record label PONY CANYON. She has released seven studio albums, two compilations and a live album.

Kojima first got in contact with American music from the 50's in high school and wished to make similar music ever since. At age 18, she sent her first song ""真夏の海"" (Midsummer's Sea) to a record company and was promptly taken under contract. <a href=""https://www.last.fm/music/%E5%B0%8F%E5%B3%B6%E9%BA%BB%E7%94%B1%E7%BE%8E"">Read more on Last.fm</a>",21043,1132898
Emma-Jean Thackray,jazz,2020,"Joe Armon-Jones, Theo Croker, Theon Cross","Emma-Jean Thackray (born c. 1989) is an English jazz musician, producer, bandleader, and DJ. She was born and brought up in Leeds, West Yorkshire,[1] and is now based in south London. Thackray played the cornet in local brass bands in Yorkshire.[3] She studied jazz performance at the Royal Welsh College of Music and Drama under British jazz pianist and composer Keith Tippett.[4] After her studies at the college, she took a Masters in orchestral jazz <a href=""https://www.last.fm/music/Emma-Jean+Thackray"">Read more on Last.fm</a>",101754,795318
Édith Piaf,jazz,2021,"Charles Aznavour, Dalida, Charles Trenet","Édith Piaf (born Édith Giovanna Gassion, 19 December, 1915 – 11 October, 1963), was a French singer and cultural icon who became universally regarded as France's greatest popular singer. Her singing reflected her life, with her specialty being ballads. Among her songs are ""La Vie en rose"" (1946), ""Non, je ne regrette rien"" (1960), ""Hymne à l'amour"" (1949), ""Milord"" (1959), ""La Foule"" (1957), ""l'Accordéoniste"" (1955), and ""Padam... Padam..."" (1951). <a href=""https://www.last.fm/music/%C3%89dith+Piaf"">Read more on Last.fm</a>",981155,12669650
Toshiko Akiyoshi,jazz,2022,"Aaron Goldberg, Wynton Kelly, Sonny Clark Trio","Toshiko Akiyoshi is a Japanese American jazz pianist, composer/arranger and bandleader. Among a very few successful female instrumentalists of her generation in jazz, she is also recognized as a major figure in jazz composition.

Toshiko Akiyoshi was born in Manchuria, China, and was considering a career in medicine when her family returned to live in Japan. ""Japan was still heavily occupied then, and our resort city of Beppu was flooded with soldiers. <a href=""https://www.last.fm/music/Toshiko+Akiyoshi"">Read more on Last.fm</a>",43408,268753
Tex Beneke,jazz,2023,"Bob Crosby And The Bobcats, Roy Brown, Jack Shaindlin","Tex Beneke was born in Texas. He joined the Glenn Miller Orchestra in 1938 as a tenor saxophonist. He quickly became a star with the orchestra with his easy going manner, casual sounding voice and mellifluous saxophone playing. One night while riding to a gig with Glenn Miller in a car, they discussed tunes and Tex suggested a song he knew called ""Ida"". He sang it to Miller and Miller is reported to have said, ""you know, Tex, we should write an arrangement for you to do that tune. <a href=""https://www.last.fm/music/Tex+Beneke"">Read more on Last.fm</a>",136673,622083
Willie Bobo,jazz,2020,"Poncho Sanchez, Mongo Santamaria, Ray Barretto","Willie Bobo was the stage name of William Correa (February 28, 1934 – September 15, 1983),[1] a Latin and jazz percussionist of Puerto Rican ancestry.
His youngest son, Eric Bobo (Eric Correa), is a percussionist with crew Cypress Hill. He also performed on the Beastie Boys' 1994 album Ill Communication, as well as doing the 1994 Lollapalooza tour with the group

His grandson William Valen Correa, son of Bobo's first son William Gill Correa, is Co-Founder of the music-based non-profit organization HNDP Los Angeles. <a href=""https://www.last.fm/music/Willie+Bobo"">Read more on Last.fm</a>",220237,1197200
Haley Reinhart,jazz,2021,"Morgan James, Kristina Train, Gin Wigmore","Haley Reinhart (born September 9, 1990 in Wheeling, Illinois) is an American singer who rose to fame on the tenth season of American Idol in  2011. She was eliminated, placing third, on Thursday, May 19, 2011. The  Free Songfacts reports that after signing with 19 Recordings/ Interscope Records, Reinhart premiered her debut single Free along with another tune, Wasted Tears, in Hard Rock Café in Hollywood on February 21, 2012. 

""Listen Up!"" is the debut studio album by Haley Reinhart. <a href=""https://www.last.fm/music/Haley+Reinhart"">Read more on Last.fm</a>",355410,3581006
Paul Chambers,jazz,2022,"Sonny Clark, Hank Mobley, Lee Morgan","There are at least three artists who have recorded under the name of Paul Chambers.

1. Paul Laurence Dunbar Chambers, Jr. (April 22, 1935, Pittsburgh, PA, USA – January 4, 1969, New York City, NY) was a leading jazz double bassist. A prominent figure in many rhythm sections during the 1950s and 1960s, his importance in the development of jazz bass can be measured not only by the length and breadth of his work in this short period but also his impeccable time, intonation, and virtuosic improvisations. <a href=""https://www.last.fm/music/Paul+Chambers"">Read more on Last.fm</a>",64322,434893
Sonny Stitt,jazz,2023,"Dexter Gordon, Johnny Hodges, Charlie Parker","Edward ""Sonny"" Stitt (born Edward Boatner, Jr., February 2, 1924 – July 22, 1982), was an American jazz saxophonist of the bebop/hard bop idiom. He was one of the most well-documented saxophonists of his generation, recording over 100 albums. He was nicknamed the ""Lone Wolf"" by jazz critic Dan Morgenstern, in reference to his relentless touring and devotion to jazz.

Early life

Edward Boatner was born in Boston, Massachusetts[1] and grew up in Saginaw, Michigan. <a href=""https://www.last.fm/music/Sonny+Stitt"">Read more on Last.fm</a>",206134,1467084
Johnny Mercer,jazz,2020,"Bob Crosby And The Bobcats, Betty Hutton, Bob Crosby","John Herndon ""Johnny"" Mercer (18 November 1909 – 25 June 1976) is regarded as one of America's greatest songwriters. He is best known as a lyricist, but he also composed music. He was also a popular singer who recorded his own songs as well as those written by others. From the mid-1930s through the mid-1950s, many of the songs Mercer wrote and performed were among the most popular hits of the time. He wrote the lyrics to more than fifteen hundred songs, including compositions for movies and Broadway shows. <a href=""https://www.last.fm/music/Johnny+Mercer"">Read more on Last.fm</a>",237423,1062732
Nubiyan Twist,jazz,2021,"Blue Lab Beats, Ashley Henry, Ezra Collective","Nubiyan Twist play an upbeat blend of groove driven music with a powerful horn section, soulful female vocals/mc'ing, live dubs/ electronics, turntablism and an explosive rhythm section stretching from Brazil to the UK.

Nubiyan Twist are a Leeds born, London based musical collective. Orchestrated by guitarist/producer Tom Excell, they create a unique, infectious sound in an eclectic mix of styles, drawing on jazz, hip-hop, afrobeat, latin, soul, reggae and dance music. <a href=""https://www.last.fm/music/Nubiyan+Twist"">Read more on Last.fm</a>",101503,890301
Yazz Ahmed,jazz,2022,"Nubya Garcia, Joe Armon-Jones, Theon Cross","Yazz Ahmed is a London, UK, jazz composer and trumpeter.

She has collaborated with artists such as Radiohead and Lee ""Scratch"" Perry, and released her debut album 'Finding My Way Home' in 2011.

She released 'La Saboteuse' in 2017, an album which references Arabic Jazz and has earned comparisons to Miles Davis' Bitches Brew. <a href=""https://www.last.fm/music/Yazz+Ahmed"">Read more on Last.fm</a>",58029,574457
Pete Jolly,jazz,2023,"Chico Hamilton, Alan Tew, Ronald Langestraat","Pete Jolly—born Peter Ceragioli Jr. June 5, 1932, in New Haven, Connecticut; died November 6, 2004, in Pasadena, California—was an American West Coast jazz pianist and accordionist, likely best known for his performance of television themes and various movie soundtracks.

He began playing the accordion at age 3, and appeared on the radio program Hobby Lobby at age seven.

His composition ""Little Bird"" was nominated for a Grammy Award in 1963 (a minor hit on Fred Astaire's Ava label), and he formed the Pete Jolly Trio in 1964. <a href=""https://www.last.fm/music/Pete+Jolly"">Read more on Last.fm</a>",32142,135195
Red Garland Trio,jazz,2020,"Red Garland, Bill Charlap Trio, McCoy Tyner Trio","William ""Red"" Garland was born in Dallas, Texas in 1923. Though he came from a non-musical family, Garland showed an early interest in music. He began his musical studies on the clarinet  and alto saxophone but in 1940 switched to the piano. Garland spent copious amounts of time practicing and rapidly developed into a proficient player. A short early career as a welterweight  boxer did not seem to hurt his playing hands. He fought a young Sugar Ray Robinson before making the switch to a full-time musician. <a href=""https://www.last.fm/music/Red+Garland+Trio"">Read more on Last.fm</a>",88656,450281
The Bad Plus,jazz,2021,"Phronesis, Vijay Iyer Trio, Neil Cowley Trio","The Bad Plus are a U.S. jazz quartet consisting of bassist Reid Anderson, drummer Dave King, guitarist Ben Monder and saxophonist Chris Speed.  Anderson and King are originally from Minnesota. King is also part of the Minnesota-based groups Halloween, Alaska, Happy Apple, and Love-Cars. Founding member and pianist Ethan Iverson left the group at the beginning of 2018 and was replaced by  Orrin Evans. Evans left the group in 2021.

The three original members first played together in 1989 <a href=""https://www.last.fm/music/The+Bad+Plus"">Read more on Last.fm</a>",312938,4467795
John Klemmer,jazz,2022,"Joe Sample, Dave Grusin, Bob James","           ""JOHN KLEMMER BIOGRAPHY""
                     (& Addendum)

John Klemmer is an enigma to many. He seems to be a ""different artist"" to ""different people"" depending on which musical direction & time period of Klemmer's music they are attached to, are aware of & prefer.

John Klemmer began playing guitar at age 5. He grew up in Morton Grove, an upper middle class white area of Chicago, and moved to the city upon graduating High School. After <a href=""https://www.last.fm/music/John+Klemmer"">Read more on Last.fm</a>",59607,311683
George Duke,jazz,2023,"Joe Sample, Lee Ritenour, Wayman Tisdale","George Duke (b. 12 Jan 1946 in San Rafael, CA, USA - d. 5 Aug 2013 in Los Angeles, CA), was a pianist and synthesizer pioneer, who also majored in the trombone. Early influences: Les McCann and cousin Charles Burrell. First gig was with the house band at the Half Note club and with vocal band Third Wave in 1968, from there he backed such musicians as Dizzy Gillespie, Kenny Dorham and Don Ellis, playing session musician on Jean-Luc Pontys Pacific Jazz Albums.1970 was a milestone for Duke playing on The Mothers of Invention album 200 Motels. <a href=""https://www.last.fm/music/George+Duke"">Read more on Last.fm</a>",308118,2762686
Kurt Rosenwinkel,jazz,2020,"Jonathan Kreisberg, Gilad Hekselman, Walter Smith III","Kurt Rosenwinkel (born October 28, 1970) is a jazz guitarist who came to prominence in the 1990s. His improvising style was initially influenced by guitarists such as Pat Metheny and John Scofield, but has emerged as an individual stylist whose lines are lengthy and linear, recalling the styles of Lennie Tristano in the 1940s and 50s. His chordal language is advanced, touching on ideas from George Van Eps and Ben Monder. He attended the Berklee School <a href=""https://www.last.fm/music/Kurt+Rosenwinkel"">Read more on Last.fm</a>",161152,1491301
Modern Jazz Quartet,jazz,2021,"Milt Jackson, Dexter Gordon, Art Pepper","The Modern Jazz Quartet was formed in 1952 by Milt Jackson (vibraphone), John Lewis (piano, musical director), Percy Heath (bass), and Kenny Clarke (drums). Connie Kay replaced Clarke in 1955. Various of the members had played together backing other artists such as Dizzy Gillespie and Ray Brown, and in Jackson's own Quartet.

Through their long existence, they have worked with Classical musicians and are known for incorporating elements of Classical music into jazz, being one of the most notable examples of the style called Third Stream. <a href=""https://www.last.fm/music/Modern+Jazz+Quartet"">Read more on Last.fm</a>",128405,1131873
Billy Strayhorn,jazz,2022,"Ray Bryant Trio, Wes Montgomery Trio, Kenny Drew","William Thomas ""Billy"" Strayhorn (November 29, 1915 – May 31, 1967) was an American jazz composer, pianist, lyricist, and arranger, best known for his successful collaboration with bandleader and composer Duke Ellington lasting nearly three decades. His compositions include ""Take the 'A' Train,"" ""Chelsea Bridge,"" and ""Lush Life.""

Strayhorn was born in Dayton, Ohio. His family soon moved to the Homewood section of Pittsburgh, Pennsylvania. However <a href=""https://www.last.fm/music/Billy+Strayhorn"">Read more on Last.fm</a>",47388,240411
Mildlife,jazz,2023,"Surprise Chef, L'eclair, Glass Beams","Narrowing down the group's style into a genre is almost impossible, as they bond over the desire to push musical boundaries. No strangers to the Melbourne band scene, the four old friends have been drawing crowds through an epic journey at intimate venues and festivals for the best part of the past 4 years. Developing a tight live show bolstered by wild improvisation, the group have left punters itching for their first full length studio album that mines jazz, psych and disco for its irresistible groove. <a href=""https://www.last.fm/music/Mildlife"">Read more on Last.fm</a>",112145,1301992
Nicholas Payton,jazz,2020,"Roy Hargrove, Jeremy Pelt, Tom Harrell","Nicholas Payton (born September 26, 1973) is a jazz trumpet player from New Orleans, Louisiana. The son of bassist and sousaphonist Walter Payton, he took up the trumpet at the age of four and by the time he was nine he was playing in the Young Tuxedo Brass Band alongside his father. Encouraged by Wynton Marsalis, who was himself involved in New Orleans' jazz and brass band music in his youth, Payton played semi-professionally throughout his grade <a href=""https://www.last.fm/music/Nicholas+Payton"">Read more on Last.fm</a>",100665,541403
Gene Harris & The Three Sounds,jazz,2021,"The Three Sounds, The Ramsey Lewis Trio, Ramsey Lewis","Gene Harris (September 1, 1933, Benton Harbor, Michigan – January 16, 2000) was an American jazz pianist known for his warm sound and blues and gospel infused style. From 1956 to 1970, he played in The Three Sounds trio with bassist Andy Simpkins and drummer Bill Dowdy.

 <a href=""https://www.last.fm/music/Gene+Harris+&+The+Three+Sounds"">Read more on Last.fm</a>",61866,248752
Jim Hall,jazz,2022,"Paul Desmond, Tal Farlow, Pat Martino","James Stanley Hall (December 4, 1930 – December 10, 2013) was an American jazz guitarist, composer and arranger. 

Born in Buffalo, New York, before moving to Cleveland, Ohio, Hall was from a musical family, his mother played the piano, his grandfather violin, and his uncle guitar. He began playing the guitar at age ten when his mother gave him an instrument as a Christmas present. As a teenager in Cleveland, he performed professionally, and also took up the double bass. <a href=""https://www.last.fm/music/Jim+Hall"">Read more on Last.fm</a>",169949,1414423
Masabumi Kikuchi,jazz,2023,"Terumasa Hino, セキトオ・シゲオ, 鈴木 弘","Masabumi Kikuchi (菊地 雅章, Kikuchi Masabumi, 19 October 1939 – 6 July 2015) was a Japanese jazz pianist and composer born in Tokyo, Japan, notable for working with a variety of well known jazz musicians such as Lionel Hampton, Sonny Rollins, Woody Herman, Mal Waldron, Joe Henderson, McCoy Tyner, Elvin Jones, Miles Davis, Billy Harper, and Hannibal Peterson.

Masabumi Kikuchi also known as ‘Poo’ started the piano lessons and music theory study. <a href=""https://www.last.fm/music/Masabumi+Kikuchi"">Read more on Last.fm</a>",54740,274013
Cyrus Chestnut,jazz,2020,"Ahmad Jamal, Renee Rosnes, Bill Charlap Trio","Cyrus Chestnut born on January 17, 1963, in Baltimore, Maryland; son of McDonald (a retired post office employee and church organist) and Flossie (a city social services worker and church choir director). Chestnut started his musical career at the age of six, playing piano at Mount Calvary Baptist Church in hometown. By age nine, he was studying classical music at Peabody Institute. In 1985, Chestnut earned a degree in jazz composition and arranging from Boston's renowned Berklee College of Music. <a href=""https://www.last.fm/music/Cyrus+Chestnut"">Read more on Last.fm</a>",83487,375612
Gary Burton,jazz,2021,"Chick Corea, John Scofield, John Abercrombie","Gary Burton (born on 23 January 1943 in Anderson, Indiana) is a jazz vibraphone player, known for developing the innovative technique of playing the instrument with four mallets, rather than the usual two.

He studied with Herb Pomeroy at the Berklee College of Music, where he met the composer and arranger Michael Gibbs, with whom he subsequently collaborated frequently.

Burton, who released his debut album in 1961 at the age of 18, spent the early <a href=""https://www.last.fm/music/Gary+Burton"">Read more on Last.fm</a>",169352,1201814
Hoagy Carmichael,jazz,2022,"Bix Beiderbecke, Fats Waller, Johnny Mercer","""Hoagy"" Carmichael (born Howard Hoagland Carmichael; November 22, 1899 – December 27, 1981) was an American composer, pianist, singer, actor, and bandleader. He is best known for composing the music for ""Stardust"", ""Georgia on My Mind"", ""The Nearness of You"", and ""Heart and Soul"", four of the most-recorded American songs of all time.
American composer and author Alec Wilder wrote of Carmichael in American Popular Song: The Great Innovators, 1900–1950 that he was the ""most talented <a href=""https://www.last.fm/music/Hoagy+Carmichael"">Read more on Last.fm</a>",165630,898385
Charles Lloyd,jazz,2023,"Ambrose Akinmusire, John Surman, Chris Potter","Charles Lloyd (b. March 15, 1938) is an African-American composer/musician, playing mostly tenor saxophone along with flute and tarogato.

He started his career by playing together with Chico Hamilton and Cannonball Adderley.
In the latter half of the 1960s, his own quartet with Keith Jarrett, Cecil McBee and Jack DeJohnette was one of the most popular jazz bands of the time. Their album Forest Flower is one of the best-selling jazz albums ever.
 <a href=""https://www.last.fm/music/Charles+Lloyd"">Read more on Last.fm</a>",132192,1008432
insaneintherainmusic,jazz,2020,"The 8-Bit Big Band, The Consouls, J-MUSIC Ensemble","Carlos Eiene, also known as “insaneintherainmusic” is an American / Filipino musician specializing in video game music and jazz music. He composes music for video games and records instrumental performances for games, film, and other media. He has created over 400 jazz arrangements of video game music on his YouTube channel insaneintherainmusic.

Carlos Eiene was born in the Seattle area of Washington state in the USA, and started playing piano at a young age. <a href=""https://www.last.fm/music/insaneintherainmusic"">Read more on Last.fm</a>",136859,3146884
Kenny Garrett,jazz,2021,"Michael Brecker, Roy Hargrove, Joshua Redman","Kenny Garrett is a jazz saxophonist. He was born in Detroit, Michigan in 1960. His father was a tenor saxophonist. Kenny's career took off when he joined the Duke Ellington Orchestra in 1978, then led by Duke's son, Mercer Ellington. Three years later he played in the Mel Lewis Orchestra (playing the music of Thad Jones) and also the Dannie Richmond Quartet (focusing on Charles Mingus's music). In 1984 he earned a shot at his first album as a band leader, ""Introducing Kenny Garrett"". <a href=""https://www.last.fm/music/Kenny+Garrett"">Read more on Last.fm</a>",147515,977539
Woody Herman & His Orchestra,jazz,2022,"Woody Herman, Members Of The Glenn Miller Orchestra, Artie Shaw","Early life and career

Herman was born Woodrow Charles Thomas Herman in Milwaukee, Wisconsin on May 16, 1913. His parents were Otto and Myrtle Herrman. His father had a deep love for show business and this influenced Woody Herman at an early age. As a child he worked as a singer in vaudeville, then became a professional saxophone player at age 15. In 1931, he met Charlotte Neste, an aspiring actress. They later married, September 27, 1936. Woody Herman <a href=""https://www.last.fm/music/Woody+Herman+&+His+Orchestra"">Read more on Last.fm</a>",61035,231422
Return to Forever,jazz,2023,"Weather Report, Chick Corea, Mahavishnu Orchestra","Return to Forever was the name of a jazz fusion band founded and led by keyboardist Chick Corea. The band cycled through many members, but the only consistent band mate of Corea's was bassist Stanley Clarke. Along with Weather Report and Mahavishnu Orchestra, these bands are often seen as the core of jazz fusion music in the 1970s. Several musicians, including Clarke, Flora Purim, Airto Moreira and Al Di Meola first became well-known through their performances on Return to Forever's albums. <a href=""https://www.last.fm/music/Return+to+Forever"">Read more on Last.fm</a>",237707,2627301
Chip Wickham,jazz,2020,"Matthew Halsall, Jasmine Myra, The Greg Foat Group","Chip Wickham is a jazz musician and producer who divides his time between Spain, UK and the Middle-East and who has made a name for himself with a series of beautifully crafted solo albums that draw equally on the hard swinging spiritual jazz of Roland Kirk, Yusef Lateef and Sahih Shihab, alongside the music of British jazz legends such as Tubby Hayes and Harold McNair and the more contemporary sounds of Jazzanova, Kyoto Jazz Massive and Robert Glasper. <a href=""https://www.last.fm/music/Chip+Wickham"">Read more on Last.fm</a>",50515,255388
Curtis Stigers,jazz,2021,"Molly Johnson, Peter Cincotti, Gregory Porter","Curtis Stigers is an American jazz vocalist / saxophonist / guitarist / songwriter born on 18 October 1965 in Boise, Idaho, USA. He achieved a number of hits in the early 1990s, most notably ""I Wonder Why"", which reached #5 in the UK and #9 in the US in 1991.

He is signed with Concord Records. He had his début self titled album in 1991 which sold 1.5 milllion. In his solo career, his most famous songs are 'I Wonder Why' and 'You're All That Matters To Me'. <a href=""https://www.last.fm/music/Curtis+Stigers"">Read more on Last.fm</a>",172553,1138680
Paolo Fresu,jazz,2022,"Paolo Fresu, Richard Galliano & Jan Lundgren, Enrico Rava, Michael Wollny","Paolo Fresu is a jazz trumpet player from Berchidda, Sardinia. His main musical influence is probably Miles Davis, but he has also experimented fusion of different genres (e.g. he has released a CD in collaboration with gypsy Balkan brass ensemble Kocani Orkestar). He has published several CDs with different ensembles (Paolo Fresu Quartet, Paolo Fresu Quintet, etc.) and in collaboration with various artists. He is very active touring in Sardinia, <a href=""https://www.last.fm/music/Paolo+Fresu"">Read more on Last.fm</a>",108616,923321
Ronnie Foster,jazz,2023,"Bobbi Humphrey, Donald Byrd, Jimmy McGriff","Ronnie Foster was born in Buffalo, New York, and began playing piano at the age of 4. By age 12 he had switched to Hammond organ and became a student of the jazz great Jimmy Smith. At age 15, Ronnie started playing with George Benson on weekends, while still in school. After graduating from high school Ronnie began a two-year stint with The Billy Wooten Trio. Eventually, Ronnie began playing New York clubs. 

At 20 he got a call from New York that Saxophonist great Stanley Turrentine was looking for a new organist. <a href=""https://www.last.fm/music/Ronnie+Foster"">Read more on Last.fm</a>",139737,706437
Us3,jazz,2020,"Guru, Brooklyn Funk Essentials, Freakpower","Us3 is a jazz-rap group founded in London in 1991. They use samples of classic songs released by Blue Note Records. Among them is ""Cantaloop (Flip Fantasia)"", sampling Herbie Hancock's ""Cantaloupe Island"" on their first album Hand on the Torch. The song received much attention, approaching platinum status in the United States and being adopted as the theme music to the WBUR public radio program The Connection. <a href=""https://www.last.fm/music/Us3"">Read more on Last.fm</a>",415763,4189605
Enrico Pieranunzi,jazz,2021,"Charlie Haden, Paolo Fresu, Fred Hersch","Enrico Pieranunzi was born in Rome in 1949. He began studying piano when he was five years old, partly from his father who was a jazz-loving guitarist. At the same time, his father started introducing him to the wonders of jazz improvisation as well. 
Enrico developed his jazz style and became a professional when he was nineteen years old. Since then he worked with the trombonist Marcello Rosa’s quartet. After this collaboration he worked with many top players (both Europeans and Americans) including Chet Baker <a href=""https://www.last.fm/music/Enrico+Pieranunzi"">Read more on Last.fm</a>",139925,944656
Maynard Ferguson,jazz,2022,"Gordon Goodwin's Big Phat Band, Count Basie & His Orchestra, Arturo Sandoval","Walter ""Maynard"" Ferguson (May 4, 1928 – August 23, 2006) was a Canadian-born jazz trumpet player and bandleader. 

Maynard's first idol was trumpeter Harry James and he first received his music union card at age thirteen.  He left Montreal at age eighteen with close friend and schoolmate, Oscar Peterson and secured a contract recording session work with RCA Victor's prestigious Jazz division. 

He came to prominence playing in Stan Kenton's orchestra, before forming his own band in 1957. <a href=""https://www.last.fm/music/Maynard+Ferguson"">Read more on Last.fm</a>",121982,1193289
Brad Mehldau Trio,jazz,2023,"Brad Mehldau, Keith Jarrett Trio, Bobo Stenson Trio","Mehldau plays original compositions, jazz standards and jazz arrangements of popular music, especially rock music.  With his trio, he has recorded arrangements of the music of Nick Drake, The Beatles, Radiohead and Paul Simon. Mehldau has a distinct talent for transforming these ‘Rock’ songs in such a way that they sound as if they were Jazz Standards in the first place. He is best known as leader of the Brad Mehldau Trio, with bassist Larry Grenadier and drummers Jorge Rossy and Jeff Ballard (who succeeded Rossy in 2005). <a href=""https://www.last.fm/music/Brad+Mehldau+Trio"">Read more on Last.fm</a>",195758,1791439
Buddy Rich Big Band,jazz,2020,"Buddy Rich, Mingus Big Band, Gordon Goodwin's Big Phat Band","Buddy Rich was a US jazz drummer & bandleader. He was billed as ""the world's greatest drummer"", as he was known for his virtuoso technique, power, speed & improvisation.

He was born to Jewish parents in Brooklyn, New York on September 30, 1917. It was his father who initially realized Buddy's talent for rhythm, when Buddy could keep a steady beat with spoons at the age of one. He began playing drums in vaudeville when he was 18 months old, billed as ""Traps the Drum Wonder"". <a href=""https://www.last.fm/music/Buddy+Rich+Big+Band"">Read more on Last.fm</a>",76526,467283
Moon Hooch,jazz,2021,"TOO MANY ZOOZ, paraskeva, Melt Yourself Down","Moon Hooch is a Brooklyn-based collaboarative trio (Mike Wilbur - tenor saxophone, Wenzl McGowen - tenor saxophone, James Muschler - drums) that formed in the summer of 2010. Their music is a fusion of house, dance, drum and bass, jazz, world, and classical music. In the past year or so, they have made a mark on their listeners (and general passersby) in the city by playing in public places (like Central Park, Brooklyn subway stations, etc.), and will be joining Mike Doughty on his fall 2011 tour. <a href=""https://www.last.fm/music/Moon+Hooch"">Read more on Last.fm</a>",119932,1890106
Mose Allison,jazz,2022,"Jimmy Smith, Lorez Alexandria, Dinah Washington","Mose Allison (born John Mose Allison. Jr., Tippo, MS, November 11, 1927; died 15 November 2016) was an American jazz pianist, singer. and songwriter. Amongst his best known songs is Parchman Farm. His music influenced many blues and rock artists including The Rolling Stones, John Mayall, J.J. Cale and The Who, that latter of whom played Allison's song Young Man Blues on several tours. The father of country songwriter Amy Allison, he was inducted into the Long Island Music Hall of Fame in 2006. <a href=""https://www.last.fm/music/Mose+Allison"">Read more on Last.fm</a>",181136,1509679
Hypnotic Brass Ensemble,jazz,2023,"Youngblood Brass Band, Lucky Chops, Trombone Shorty","Hypnotic Brass Ensemble are eight brothers from the south side of Chicago. They come from an extraordinary musical family. Other sisters and brothers are professional musicians, their mothers are singers, and Phillip Cohran, their father, has roots running back to Mississippi, his time in the musical hothouse of 1940s St. Louis, and his seminal role with Sun Ra in Chicago in the 1950s. When Ra left for the east coast in 1960, Phil stayed in Chicago. <a href=""https://www.last.fm/music/Hypnotic+Brass+Ensemble"">Read more on Last.fm</a>",172822,2053664
Hans Ulrik,jazz,2020,"Armel Dupas Trio, Dominick Farinacci, Snorre Kirk","Danish composer/saxophonist born i Copenhagen in 1965. <a href=""https://www.last.fm/music/Hans+Ulrik"">Read more on Last.fm</a>",50066,163445
Salvador Sobral,jazz,2021,"Os Quatro E Meia, Mimicat, Maro","Salvador Vilar Braamcamp Sobral (born 28 December 1989) is a Portuguese singer and a former psychology student. He represented Portugal in the Eurovision Song Contest 2017 with ""Amar Pelos Dois"", giving Portugal its first win since their debut in 1964. It was written by Sobral's sister, singer-songwriter Luísa Sobral. He has several times used his public image in favour of refugees crossing Europe.

Sobral was born in Lisbon, into a former noble family the son of Salvador Luís Cabral Braamcamp Sobral <a href=""https://www.last.fm/music/Salvador+Sobral"">Read more on Last.fm</a>",84378,1152985
Moses Yoofee Trio,jazz,2022,"marshall allen, 44th Move, James Brandon Lewis"," <a href=""https://www.last.fm/music/Moses+Yoofee+Trio"">Read more on Last.fm</a>",35328,275595
