,Bank Talk,Thank Me Now,2021,Jah$tar,0,rap,2020-2024;
,Area Codes,Playlist estiva Top 40,2024,Kaliii,0,rap,2020-2024;
,Make It Last,Since Birth,2020,Chevy Woods,0,rap,2020-2024;
,Yellow Lights,Party Fever,2021,Jake Miller,0,rap,2020-2024;
,DONTTRUSTME,punk is here,2024,3OH!3,0,rap,2020-2024;
,Solo - Cahill Club Mix,Love Again - Feelgood Dance Pop,2021,Iyaz,0,rap,2020-2024;
",Old Eire (Skit),The Devil Was a Culchie,2020,""A10Sín, DJ Green"",0,rap,2020-2024";
,After Party,Summer Party Songs Everyone Loves,2024,Don Toliver,0,rap,2020-2024;
,Clothes Off!!,My House - Pre Party,2022,Gym Class Heroes,0,rap,2020-2024;
",Gucci Flip Flops,Modern Hip Hop,2022,""Bhad Bhabie, Lil Yachty"",0,rap,2020-2024";
,Rumors,Boom Clap - 10's Anthems,2022,Jake Miller,0,rap,2020-2024;
",Deep in the Water,""very mindful, very demure"",2024,Don Toliver,0,rap,2020-2024";
",Battle Cry,The Road Less Traveled,2023,""Cadillac Muzik, Jake Atherton, PUSH.audio"",0,rap,2020-2024";
",Saudade - Instrumental,Saudade,2024,""Noze, un.like, Disstinto"",0,rap,2020-2024";
,Spice Language,The Art of Spice Talk 2,2022,KrispyLife Kidd,0,rap,2020-2024;
,Sweet Butterfly,Little Reggae,2020,Divine Sounds,0,rap,2020-2024;
,U DON'T KNOW ME,U DON'T KNOW ME,2022,Young Black Heart,0,rap,2020-2024;
,caught a body,oneway! II,2021,PuddaH,0,rap,2020-2024;
,Fast Food,Fast Food,2022,Lil Boas,0,rap,2020-2024;
,BeatBox,UnderRated,2021,Suckafreejuice,0,rap,2020-2024;
,Area Codes,there I go new rap flow,2023,Kaliii,0,rap,2020-2024;
",KUSH,COOKIEZ & CREAM,2022,""Cookiez, Rob Voucher"",0,rap,2020-2024";
,How I'm Living,How I'm Living,2020,Courtside,0,rap,2020-2024;
",PRESIDENTE (feat. Kermit & Dat Boi Dee),Street Rap Italia,2024,""Geolier, Kermit, Dat Boi Dee"",0,rap,2020-2024";
,San Kilot,San Kilot,2020,Mechanst,0,rap,2020-2024;
,U Bullshittin’,From Memphis 2 Houston,2020,Jhiame,0,rap,2020-2024;
,YOU,YOU,2021,HellBoy9k,0,rap,2020-2024;
,Run it Up,Sosaa Vibes 1.5,2020,Zahsosaa,0,rap,2020-2024;
,Hypnotize,No More Christmas,2020,Izen,0,rap,2020-2024;
,Heat,Amnesia,2022,Kostaki,0,rap,2020-2024;
,Calor,Antorcha y Luz de Luna,2022,zerardo,0,rap,2020-2024;
,Muziki,Addicted,2023,Quincy,0,rap,2020-2024;
",Queen Is Back - Dja4muzic Remix,Queen Is Back (Dja4muzic Remix),2020,""The Kaseta, Dja4muzic"",0,rap,2020-2024";
,Deuses Falsos,11:11,2021,Bebi Monsuta,0,rap,2020-2024;
",Into Your Arms,I Feel Good - Viral Pop,2021,""Witt Lowry, Ava Max"",0,rap,2020-2024";
,Smashing pastors wife,Smashing pastors wife,2020,Luka-120,0,rap,2020-2024;
,Don't Trust Me,Playlist 00s,2024,3OH!3,0,rap,2020-2024;
,No Bots,No Bots,2021,Oz the Oddz,0,rap,2020-2024;
,Lawn Service,Modern Times 2,2020,jinnwilliam,0,rap,2020-2024;
,Haterville Skit,SKANDALOUZ 2,2024,Los,0,rap,2020-2024;
,Remember,Remember,2020,Young Jr,0,rap,2020-2024;
",Дал дал ушёл,Дал дал ушёл,2024,""Sasha Chest, Puffy Puff"",0,rap,2020-2024";
,Be Careful,MUJERES DE LA MÚSICA 2024,2024,Cardi B,0,rap,2020-2024;
,God heal Africa,God heal Africa,2020,Luka-120,0,rap,2020-2024;
,Erntebeginn - Instrumental,Ernte23 (Instrumentals),2022,Repete23,0,rap,2020-2024;
",Up The Road Lost,I'M HOME WARNING,2021,""G Man, Anthony Stephens Jr."",0,rap,2020-2024";
",Return Of The Macc - Slowed & Chopped,The DOTcumentary (Quiet Money Dot) [Slowed & Chopped],2024,""DJ SaucePark, Quiet Money Dot, George Young"",1,rap,2020-2024";
,Ataru,ROXO 10,2024,DARKSUNN,0,rap,2020-2024;
",AMG,AMG,2020,""LILCAK3, rudeboy"",0,rap,2020-2024";
",Ride Out,Farewell (Delux3),2022,""Nick Rose, Infinite Tgm"",0,rap,2020-2024";
,Test That Shit,Test That Shit,2023,Lil G,0,rap,2020-2024;
",Fire,Fire,2021,""Hezeleo, Billy Cook"",0,rap,2020-2024";
",Stereo Hearts,""Du kannst alles schaffen, wenn du daran glaubst"",2023,""Gym Class Heroes, Adam Levine"",0,rap,2020-2024";
",Replay (feat. Flo Rida),00s Music - Greatest Hits,2024,""Iyaz, Flo Rida"",0,rap,2020-2024";
,Tarantino,Amnesia,2022,Kostaki,0,rap,2020-2024;
",Алмазы Анголы,Pro любовь и насилие,2020,""Стриж, АМИР"",0,rap,2020-2024";
,On My Racks,Especial De Natal,2020,Rov3,0,rap,2020-2024;
,You're a Jerk,Pity Party: Trending Hits,2022,New Boyz,0,rap,2020-2024;
,Topside,Play For Keeps,2021,Band Gang Masoe,0,rap,2020-2024;
,Fight,Fight,2022,Last,0,rap,2020-2024;
,Rewind,Krash Dummy Third,2020,Born Stunna 3G,0,rap,2020-2024;
,Vontade Louca,Pop 2020,2020,PrimaSol,0,rap,2020-2024;
,Different League,Block Baby EP,2021,Ray Walker,0,rap,2020-2024;
,Area Codes,Summer BBQ 2023,2024,Kaliii,0,rap,2020-2024;
",Gerardo Geringa,Émbolo y biela,2024,""Res_Co, Gerardo Geringa"",0,rap,2020-2024";
,Blue Shells,Potential Unleashed,2022,Lil Gohan,0,rap,2020-2024;
",ENJOY DEATH,ZOMBIE MODE,2022,""3fargo, SLAT3R"",0,rap,2020-2024";
",Mangu,Mangu,2020,""zerardo, Hexal"",0,rap,2020-2024";
",Dulce,Dulce (Ft. Gezzyboiii & EvylDayo),2020,""zerardo, Gezzyboiii, EvylDayo"",0,rap,2020-2024";
,Whoopty,Me Gusta - Summer Pop,2021,CJ,0,rap,2020-2024;
",Blvck Raven,Str8 Frost,2020,""Mr.Str8-8, Blvck Frost"",0,rap,2020-2024";
,Helping Grandma / Robbing Grandma,PURP Vol. I,2022,KC Purp,0,rap,2020-2024;
,Untitled - Instrumental,Faktortép (Instrumental),2021,FAKT,0,rap,2020-2024;
,Be Careful,Shed a Light - Perfect 10s,2022,Cardi B,0,rap,2020-2024;
,Grand bandit,Dans le vrai,2023,Moubarak,0,rap,2020-2024;
,Replay,Kings & Queens - Viral Hits,2021,Iyaz,0,rap,2020-2024;
",Tropix (feat. Mans),Chasing Ghost,2024,""Lil Cas, Mans"",0,rap,2020-2024";
,Muertovivo,Muertovivo,2021,Lil Chachi,0,rap,2020-2024;
",""Cloud 9 (feat. Woozie Made Music, Samantha B & Dj Phish)"",""Cloud 9 (feat. Woozie Made Music, Samantha B & Dj Phish)"",2024,""Mr.Str8-8, Woozie Made Music, Samantha B, Dj Phish"",0,rap,2020-2024";
,I Didn't Realize How Empty My Bed Was Until You Left,Deep Groove,2023,Roderick Porter,0,rap,2020-2024;
,Money,Money,2020,EBE Savage,0,rap,2020-2024;
",Stereo Hearts (feat. Adam Levine),Summer Party Songs Everyone Knows,2024,""Gym Class Heroes, Adam Levine"",0,rap,2020-2024";
,ICY GRL,odio san valentín,2024,Saweetie,0,rap,2020-2024;
,Understand Me,Rebel vs. Rowdy,2022,Rowdy Rebel,0,rap,2020-2024;
",Sweet Yamz - Remix,Beat Street,2023,""Fetty Wap, Charlie Wilson, Ronald Isley"",0,rap,2020-2024";
",EPISODIO D'AMORE (feat. Dat Boi Dee & Takagi & Ketra),Pausa Pranzo,2024,""Geolier, Dat Boi Dee, Takagi & Ketra"",0,rap,2020-2024";
,Small Worlds,Para Dedicar...,2024,Mac Miller,0,rap,2020-2024;
,Merry Christmas,Merry Christmas,2022,Last,0,rap,2020-2024;
",The Introduction,The Introduction,2022,""Nino, Fort'e"",0,rap,2020-2024";
,Small Worlds,Smooth Hip-Hop,2022,Mac Miller,0,rap,2020-2024;
",""Together, We Conquer (Outro)"",""Please Go, Please Stay"",2021,IEZ,0,rap,2020-2024";
,Sextasy,Sicario,2023,Kostaki,0,rap,2020-2024;
",Do Or Die,""Blood, Sweat And Tears"",2023,Kreepa,0,rap,2020-2024";
,Beethoven,Major League Rap Hits,2022,Kenndog,0,rap,2020-2024;
,Replay,Playlist 00s,2024,Iyaz,0,rap,2020-2024;
,Fck Off,Fck Off,2020,Iceboy Ben,0,rap,2020-2024;
,ICY GRL,graduATE down,2024,Saweetie,0,rap,2020-2024;
,24hrs,Doeboi909 Trap Babies,2020,Doeboi909,0,rap,2020-2024;
,Fora do Padrão,Fora do Padrão,2022,DOUTOR MC,0,rap,2020-2024;
,Stranger,Planet Royal,2020,Prince Bopp,0,rap,2020-2024;
,Znów nie mogę spać,Znów nie mogę spać,2022,GIBA,0,rap,2020-2024;
,Designer Hoe,KARMA,2021,Ladyy Acee,0,rap,2020-2024;
,TIME (Skit),PSYCHONAUTICA,2023,Nohidea,0,rap,2020-2024;
,Rainbow,Rainbow,2020,T.Y.,0,rap,2020-2024;
",In my city,Starship,2022,""808papi, MVD Micki"",0,rap,2020-2024";
",Ni do magnai dowairai be gnai,Ni do magnai dowairai be gnai,2024,""Gucci Loup, Tchetcheni"",0,rap,2020-2024";
",See You Again (feat. Charlie Puth),GenZ Hits,2023,""Wiz Khalifa, Charlie Puth"",0,rap,2020-2024";
",4 Me (feat. Kali Uchis),smooth sounds for studying,2024,""Don Toliver, Kali Uchis"",0,rap,2020-2024";
,Self Care,Skater Rap,2023,Mac Miller,0,rap,2020-2024;
,It's Up With Me,It's Up With Me,2021,OBN Jay,0,rap,2020-2024;
",Love Is in the Air,Love Is in the Air,2020,""Yashan, Kenya De Silva, Lady Monarkey"",0,rap,2020-2024";
",Momma,Hip Hop Nostalgia,2021,""Yung Joc, Jazze Pha"",0,rap,2020-2024";
,Nexus-1,DIMENSION,2020,Lycos,0,rap,2020-2024;
",Короткий рассказ,Ленина 27,2023,""Стриж, Ира PSP"",0,rap,2020-2024";
",A ma ce anka kouma,A ma ce anka kouma,2021,""Young Pô, Digui Clodjaleen, Gaza Toumisky"",0,rap,2020-2024";
,Cupid’s Chokehold / Breakfast in America,Imperdibles en Inglés,2024,Gym Class Heroes,0,rap,2020-2024;
",Вопреки,Кулёк №2,2020,""Pra(Killa'Gramm), Парадный Ветер"",0,rap,2020-2024";
,My Queen,Good Game,2020,Cals,0,rap,2020-2024;
",Do it Again,Absolution,2022,""Lulcamerin0, SkinnyPimpBae aka Yung Jugg"",0,rap,2020-2024";
",Gallis,PIWO Records Décennie,2022,""Dug G, Chabin"",0,rap,2020-2024";
,Tamo Bien,Tamo Bien,2022,Candelario,0,rap,2020-2024;
",Watch This - ARIZONATEARS Pluggnb Remix,Summer Hits Best of July,2024,""Lil Uzi Vert, sped up nightcore, ARIZONATEARS"",0,rap,2020-2024";
,Blue Shells,Potential Unleashed,2022,Lil Gohan,0,rap,2020-2024;
,Turn and Dance,Turn and Dance,2023,808papi,0,rap,2020-2024;
",Mangu,Mangu,2020,""zerardo, Hexal"",0,rap,2020-2024";
,Vou Ter Que Ser,Love and Hate,2021,Thimbada,0,rap,2020-2024;
",Blvck Raven,Str8 Frost,2020,""Mr.Str8-8, Blvck Frost"",0,rap,2020-2024";
,Love and Pain,Love and Pain,2020,Code Rogue,0,rap,2020-2024;
,Sunshine,Top of the Morning,2021,Jake Miller,0,rap,2020-2024;
,Dynamite,Class of 00': Club Hits,2022,Taio Cruz,0,rap,2020-2024;
,Shame,Shame,2020,D.Cure,0,rap,2020-2024;
,Ich warn' dich Vor!,Das Himmelsleiter Jazzorchester: 34 Blaupausen für modernes Songwriting (Rare B-Sides & Diamonds in the rough),2023,Laserboys,0,rap,2020-2024;
,U DON'T KNOW ME,U DON'T KNOW ME,2022,Young Black Heart,0,rap,2020-2024;
,caught a body,oneway! II,2021,PuddaH,0,rap,2020-2024;
",See You Again (feat. Charlie Puth),cafecito y chismecito,2024,""Wiz Khalifa, Charlie Puth"",0,rap,2020-2024";
",Watch This - ARIZONATEARS Pluggnb Remix,New Rap HITS 2023,2023,""Lil Uzi Vert, sped up nightcore, ARIZONATEARS"",0,rap,2020-2024";
,Jason Nance (Uncharted),Gasoline Alley,2021,Shai Coke,0,rap,2020-2024;
,Blessing,Blood Money (Beat Tape),2024,Kostaki,0,rap,2020-2024;
",Never Comes Down (Slowed & Chopped),Love & Pimp-Hop - Slowed & Chopped,2024,""Natalac, DJ Red"",0,rap,2020-2024";
,God's grave,God&#039;s Grave,2022,KS1NJAO_GTR,0,rap,2020-2024
,Deep in the Water,Hip Hop Coffee Break,2024,Don Toliver,0,rap,2020-2024;
,Фартит,Ренессанс,2021,Simaga,0,rap,2020-2024;
",WAP,Dona de mim,2023,""Cardi B, Megan Thee Stallion"",0,rap,2020-2024";
,Area Codes,International Women's Day,2024,Kaliii,0,rap,2020-2024;
,Whole Lotta Choppas,TikTok Viral Hits,2022,Sada Baby,0,rap,2020-2024;
,After Party,#onrepeat Rap,2022,Don Toliver,0,rap,2020-2024;
,Smoke By Myself,Bob Ross,2022,Atm Krown,0,rap,2020-2024;
,En General,Maharage,2021,Huba Watson,0,rap,2020-2024;
,Whistle,Sommer Klassiker,2024,Flo Rida,0,rap,2020-2024;
",En Todo Me Cago,Mojo,2020,""Yumalesra, El Pelon, Eloy MQ"",0,rap,2020-2024";
,My Type,Música 10s,2024,Saweetie,0,rap,2020-2024;
",Алмазы Анголы,Pro любовь и насилие,2020,""Стриж, АМИР"",0,rap,2020-2024";
,NANi,summer in the states,2024,Saweetie,0,rap,2020-2024;
,Gucci Gang,Hip Hop Jams,2022,Lil Pump,0,rap,2020-2024;
",Correct,Correct,2022,""SunshineGzuz, Suscex, Scotty"",0,rap,2020-2024";
,Area Codes,Top 100 - Women & Girls - International Women's Day,2024,Kaliii,0,rap,2020-2024;
,You're a Jerk,Pity Party: Trending Hits,2022,New Boyz,0,rap,2020-2024;
,No Peasants,RISE OF THE GODDESS,2024,Ladyy Acee,0,rap,2020-2024;
",Ain't Comin' Back,Along the Way,2020,""Duvin, Taylay77"",0,rap,2020-2024";
",The Introduction,The Introduction,2022,""Nino, Fort'e"",0,rap,2020-2024";
",Gerardo Geringa,Émbolo y biela,2024,""Res_Co, Gerardo Geringa"",0,rap,2020-2024";
,Whistle,Home Workout - Cardio 2,2024,Flo Rida,0,rap,2020-2024;
",GEFÜHLSTÖTUNGSMASCHINE (Interlude),Im Augenblick sind alle Leitungen belegt,2022,""Das Ding ausm Sumpf, Jason Bartsch"",0,rap,2020-2024";
",Stereo Hearts,SUMMER SUMMER SUMMER,2024,""Gym Class Heroes, Adam Levine"",0,rap,2020-2024";
",Марк в 2007 (SURIN DA PHONK Remix),УОЛБЕРГ (REMIXES),2022,""IAN HOPELESS, SURIN DA PHONK"",0,rap,2020-2024";
,Neva Lacky,Vibe Gawd,2023,Jay Griffy,0,rap,2020-2024;
,Savage,Homecoming - Hip Hop Hits,2022,Megan Thee Stallion,0,rap,2020-2024;
",Into Your Arms,Who's That Chick? - Viral Bangers,2022,""Witt Lowry, Ava Max"",0,rap,2020-2024";
,(Optional) Intro To TAPE 5,TAPE 5,2020,NAHreally,0,rap,2020-2024;
,I,Hot Rap 10s,2022,Lil Skies,0,rap,2020-2024;
",Intro (feat. DJ Epps),Welcome To The 6th Floor,2024,""D'Shon El Villano, 6th Floor, Dj Epps"",0,rap,2020-2024";
,Patrona,Patrona,2020,Rap Soumi,0,rap,2020-2024;
,Terrorize (Interlude),Idle Mind,2020,Manic the 17th,0,rap,2020-2024;
,Home Alone,Unclear,2021,Ian J,0,rap,2020-2024;
,Bubbel,Bubbel,2020,WIM,0,rap,2020-2024;
",Enclave,Rap Songs,2022,""San Quinn, Be Gee, First Degree The D.E., Oji El The Gift Bearer"",0,rap,2020-2024";
",Battle Scars,We Love the 10s,2022,""Lupe Fiasco, Guy Sebastian"",0,rap,2020-2024";
,Track Star,Spring Fling,2021,Mooski,0,rap,2020-2024;
,Long Way,The MEXtape 2,2023,Young Mex,0,rap,2020-2024;
,Area Codes,Summer BBQ 2023,2024,Kaliii,0,rap,2020-2024;
,Yellow Lights,Party Fever,2021,Jake Miller,0,rap,2020-2024;
,Lova mig,BNZ MIXTAPE,2021,Benzel,0,rap,2020-2024;
,Ou Epatem,Ou Epatem,2022,Mister Christ De Vinci,0,rap,2020-2024;
",Do Or Die,""Blood, Sweat And Tears"",2023,Kreepa,0,rap,2020-2024";
,Dimensioner,Skapa,2020,Menteroja,0,rap,2020-2024;
",Old Eire (Skit),The Devil Was a Culchie,2020,""A10Sín, DJ Green"",0,rap,2020-2024";
,Notice,Notice,2021,Mike Sicara,0,rap,2020-2024;
,You’re a Jerk,summer party 2024,2024,New Boyz,0,rap,2020-2024;
",Stereo Hearts,""Du kannst alles schaffen, wenn du daran glaubst"",2023,""Gym Class Heroes, Adam Levine"",0,rap,2020-2024";
,YOU,YOU,2021,HellBoy9k,0,rap,2020-2024;
,Pirata,Pirata,2020,Bhaco,0,rap,2020-2024;
,Kiwi Budget,HYPER SLOCAL,2023,ItsNate,0,rap,2020-2024;
,Run it Up,Sosaa Vibes 1.5,2020,Zahsosaa,0,rap,2020-2024;
,My Dawg,The MEXtape,2022,Young Mex,0,rap,2020-2024;
",""Together, We Conquer (Outro)"",""Please Go, Please Stay"",2021,IEZ,0,rap,2020-2024";
